sail 12746 mars; shortest distance: 2337088.7406836785|sail x|sail y|sail z|time|yaw|sail Vx|sail Vy|sail Vz|distance x|distance y|distance z|abs distance
0|-88934906.63935374|-113303154.12168609|-49101043.97307136|0.0|-0.6|24.15002506637139|-16.329440533105696|-7.079947822505368|-1527036.9158176929|-76558576.70389365|-35510665.79322357|84407078.45759296
1|-88505390.72363777|-113592633.59096852|-49226553.57926356|17763.563677898343|-0.6|24.209170729560523|-16.263051667007584|-7.051178198339011|-1539550.6109606028|-76388734.30859086|-35451300.60964679|84228283.01863773
2|-88074826.19018069|-113880932.30587906|-49351551.50508088|35527.127355796685|-0.6|24.268058390506855|-16.196477554561472|-7.02232825844208|-1552778.1628079414|-76219364.95748657|-35392131.555968|84050018.98048787
3|-87643218.38299146|-114168046.45077237|-49476036.09620267|53290.691033695024|-0.6|24.32668702481704|-16.12971937002919|-6.993398511682717|-1566715.6065213382|-76050471.6381424|-35333159.86940749|83872289.94449078
4|-87210570.37967157|-114453973.86989103|-49600006.41796799|71054.25471159337|-0.6|24.385056054841044|-16.062777792260917|-6.964389252243027|-1581361.2464819252|-75882055.68013574|-35274386.0683229|83695097.76642947
5|-86776887.76086274|-114738710.6235016|-49723460.76225045|88817.81838949172|-0.6|24.44316442403954|-15.995654050281487|-6.935301012724233|-1596710.886842385|-75714120.19893155|-35215811.44533804|83518446.21943118
6|-86342175.76038104|-115022253.02436756|-49846397.5303962|106581.38206739005|-0.6|24.501011143696953|-15.92834929705711|-6.906134292767578|-1612760.6813924015|-75546668.0594175|-35157437.18440863|83342338.82769847
7|-85906438.66458505|-115304598.17106709|-49968815.46443694|124344.9457452884|-0.6|24.558595438266742|-15.86086448300084|-6.87688950424096|-1629507.734188497|-75379701.34259468|-35099264.12961311|83166778.29755639
8|-85469681.0058525|-115585742.95813176|-50090713.21794111|142108.50942318674|-0.6|24.615916476850366|-15.793200611121184|-6.8475670818037235|-1646948.906077817|-75213222.33544666|-35041293.214305155|82991767.57312422
9|-85031907.45331015|-115865684.19632658|-50212089.40815734|159872.0731010851|-0.6|24.6729734065257|-15.72535871529605|-6.818167473492968|-1665080.9239661545|-75047233.41066799|-34983525.408974074|82817309.7070834
10|-84593122.73027521|-116144418.7623144|-50332942.68089143|177635.63677898343|-0.6|24.729765394863055|-15.657339847097958|-6.788691135017109|-1683900.4633760005|-74881736.87700774|-34925961.656371586|82643407.69904347
11|-84153331.53665835|-116421943.5042946|-50453271.66961443|195399.20045688178|-0.6|24.786291600581396|-15.589145050456564|-6.759138518771075|-1703404.2260432243|-74716735.073639|-34868602.91240742|82470064.59973708
12|-83712538.60315542|-116698255.3094029|-50573075.02467075|213162.7641347801|-0.6|24.84255119449329|-15.52077537932896|-6.729510081497133|-1723588.885723099|-74552230.30276753|-34811450.11694518|82297283.43638349
13|-83270748.66685931|-116973351.07283568|-50692351.39989799|230926.32781267844|-0.6|24.898543349915226|-15.452231889756398|-6.699806280841122|-1744451.112578109|-74388224.86051545|-34754504.20718625|82125067.24667025
14|-82827966.49334143|-117247227.72567537|-50811099.46468528|248689.8914905768|-0.6|24.954267251311276|-15.383515647058402|-6.670027578471417|-1765987.551095754|-74224721.00910407|-34697766.10561516|81953419.04783434
15|-82384196.84518315|-117519882.1975752|-50929317.88780256|266453.45516847516|-0.6|25.00972208294147|-15.314627715521498|-6.640174435608641|-1788194.8515550941|-74061721.01417764|-34641236.73617429|81782341.8778203
16|-81939444.51771115|-117791311.46078895|-51047005.3564812|284217.0188463735|-0.6|25.06490704243646|-15.24556917006694|-6.610247318084086|-1811069.634290725|-73899227.10078166|-34584917.00518698|81611838.74640262
17|-81493714.30584171|-118061512.48591764|-51164160.557236254|301980.5825242718|-0.6|25.11982132679697|-15.176341085510854|-6.580246691683427|-1834608.522847861|-73737241.49762447|-34528807.82053909|81441912.68394192
18|-81047011.02405901|-118330482.26857483|-51280782.18742218|319744.1462021702|-0.6|25.17446414082996|-15.106944543035638|-6.550173024952403|-1858808.124001667|-73575766.41042042|-34472910.08012717|81272566.71174559
19|-80599339.50641508|-118598217.82938653|-51396868.95523285|337507.7098800685|-0.6|25.228834697148617|-15.037380630189954|-6.520026789196823|-1883665.0277574211|-73414804.02189803|-34417224.67186225|81103803.841891
20|-80150704.60384803|-118864716.2116199|-51512419.57867399|355271.27355796687|-0.6|25.282932215515533|-14.9676504400085|-6.4898084581009865|-1909175.810029894|-73254356.49417992|-34361752.474701345|80935627.07968998
21|-79701111.15831622|-119129974.4583114|-51627432.77565211|373034.8372358652|-0.6|25.336755916507588|-14.897755062522188|-6.459518504047332|-1935337.0585083961|-73094425.99166276|-34306494.36856228|80768039.44903514
22|-79250564.03765771|-119393989.64309117|-51741907.27733169|390798.40091376356|-0.6|25.3903050300538|-14.827695596199893|-6.4291574030764504|-1962145.337796554|-72935014.65020123|-34251451.22097037|80601043.95784348
23|-78799068.13146551|-119656758.86653583|-51855841.826554604|408561.9645916619|-0.6|25.44357879442509|-14.757473146594627|-6.398725634300199|-1989597.1935346276|-72776124.5807638|-34196623.88864299|80434643.60192493
24|-78346628.34587951|-119918279.25156316|-51969235.175844625|426325.5282695602|-0.6|25.496576454958696|-14.687088824634092|-6.3682236791606535|-2017689.1576068848|-72617757.87404633|-34142013.2194888|80268841.36992441
25|-77893249.60358639|-120178547.94343206|-52082086.08740731|444089.09194745857|-0.6|25.54929726405817|-14.616543746620666|-6.337652021430104|-2046417.748140633|-72459916.6004802|-34087620.052611805|80103640.243123
26|-77438936.83279142|-120437562.10028787|-52194393.32903315|461852.6556253569|-0.6|25.601740478576264|-14.545839030640646|-6.307011145654461|-2075779.4805321693|-72302602.81969593|-34033445.222412154|79939043.2058167
27|-76983694.95381157|-120695318.88166863|-52306155.66911697|479616.21930325526|-0.6|25.65390535663337|-14.47497579219902|-6.276301535260928|-2105770.8808525503|-72145818.59202504|-33979489.56357057|79775053.25800061
28|-76527528.9167385|-120951815.48079382|-52417371.89064948|497379.7829811536|-0.6|25.705791166555272|-14.403955156482393|-6.245523677873983|-2136388.448183775|-71989565.94621955|-33925753.89706065|79611673.37903753
29|-76070443.68595245|-121207049.1112881|-52528040.78546434|515143.34665905195|-0.6|25.757397183198186|-14.332778253316796|-6.214678063129585|-2167628.6701021045|-71833846.89273718|-33872239.03590592|79448906.54229425
30|-75612444.23927853|-121461017.00645791|-52638161.15392466|532906.9103369503|-0.6|25.808722687748503|-14.261446216892946|-6.183765182556075|-2199488.0235216916|-71678663.42447264|-33818945.78549698|79286755.71573623
31|-75153535.56791957|-121713716.419336|-52747731.80494236|550670.4740148486|-0.6|25.859766967746374|-14.189960185742436|-6.152785529563858|-2231962.9747588336|-71524017.51672207|-33765874.9435763|79125223.86166306
32|-74693722.6715479|-121965144.62594135|-52856751.55739152|568434.037692747|-0.6|25.910529318810436|-14.118321300996332|-6.121739598690791|-2265049.984439209|-71369911.12393133|-33713027.29882871|78964313.93307635
33|-74233010.56227896|-122215298.9226399|-52965219.23896412|586197.6013706453|-0.6|25.96100904324152|-14.046530707794982|-6.090627886213095|-2298745.503523171|-71216346.18234369|-33660403.632029556|78804028.87622267
34|-73771404.26713938|-122464176.62450556|-53073133.68545938|603961.1650485436|-0.6|26.011205449155362|-13.974589556163675|-6.059450890524825|-2333045.970834881|-71063324.61164759|-33608004.71675936|78644371.63207641
35|-73308908.82597078|-122711775.06671225|-53180493.74138736|621724.728726442|-0.6|26.061117851219194|-13.902499000268921|-6.028209111815584|-2367947.8151573986|-70910848.31359293|-33555831.31880424|78485345.13464752
36|-72845529.29142982|-122958091.60453397|-53287298.25996892|639488.2924043403|-0.6|26.11074557065175|-13.830260198418454|-5.996903052070518|-2403447.4552314132|-70758919.17199945|-33503884.19615969|78326952.31074224
37|-72381270.73144671|-123203123.61185452|-53393546.10248961|657251.8560822387|-0.6|26.16008793445871|-13.757874313909054|-5.965533215437727|-2439541.297293946|-70607539.05425584|-33452164.099680908|78169196.08126622
38|-71916138.20769869|-123446868.49421579|-53499236.143957205|675015.419760137|-0.6|26.209144282126914|-13.68534250760338|-5.934100105011448|-2476225.756603658|-70456709.79827979|-33400671.76742912|78012079.34744605
39|-71450136.81327064|-123689323.6659898|-53604367.26320384|692778.9834380354|-0.6|26.25791395391286|-13.61266595091675|-5.902604228459847|-2513497.219778821|-70306433.23535441|-33349407.93457333|77855605.01426834
40|-70983271.64617077|-123930486.56643227|-53708938.34984656|710542.5471159337|-0.6|26.30639629907866|-13.539845816684347|-5.87104609406734|-2551352.071278706|-70156711.17408362|-33298373.326433927|77699775.97356361
41|-70515547.81692328|-124170354.65508011|-53812948.3022918|728306.110793832|-0.6|26.35459067353091|-13.466883281779495|-5.839426211869226|-2589786.6858103424|-70007545.40500277|-33247568.66048207|77544595.10852446
42|-70046970.4484495|-124408925.41182366|-53916396.0277667|746069.6744717304|-0.6|26.402496439857657|-13.393779527072638|-5.807745093633898|-2628797.428444281|-69858937.70051542|-33196994.646312468|77390065.29336688
43|-69577544.66998123|-124646196.34009539|-54019280.44370169|763833.2381496287|-0.6|26.450112969002017|-13.320535735266962|-5.776003251924898|-2668380.660699889|-69710889.81171302|-33146651.984264694|77236189.38980062
